Year,Production,Song,Context,YouTube-UserID,URL
2002,The Jungle Book,Wild Thing (The Troggs),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=JDfZJvIABVY
2004,Pinocchio A Bohemian Rhapsody,Bohemian Rhapsody (Queen),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=gx9dZ1X-640
2004,Pinocchio A Bohemian Rhapsody,Play that Funky Music (Wild Cherry),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=bN3aw71vSZs
2004,Pinocchio A Bohemian Rhapsody,Paradise City (Guns N' Roses),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=HK14TWaFTtY
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,Heartbreaker (Pat Benatar),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=salAXWFl38Y
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,Mr. Roboto (Styx),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=2x3VaNc7wDg
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,American Woman (The Guess Who),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=d0rW0uqUiQ4
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,I'm Going Home (Ten Years After),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=W8QlCUbtMhI
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,That's What Friends are For (Dionne Warwick),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=xY78o6r6ElI
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,Another Brick in the Wall (Pink Floyd),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=AFMDjLEL3ho
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,The Great Gig in the Sky (Pink Floyd),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=TiWAoc1II1s
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,Sgt. Pepper's Lonely Hearts Club Band (The Beatles),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=tCpO46tSmGM
2007,The Wizard of Oz: Get Your Kicks on Route Yellow Bricks,Fame (David Bowie),Live performance in Park Hall,castoners,https://www.youtube.com/watch?v=2BWqGqKsdLE
2008,Snow White and the 67 Little People,NA,Clips from live performances in Park Hall,castoners,https://www.youtube.com/watch?v=JMzLNdoLbkU
2009,The Jungle Book: Welcome to the Jungle,Light my Fire (The Doors),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=cEBW7SQtcKw
2009,The Jungle Book: Welcome to the Jungle,One Love (Bob Marley),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=x33I4MvK5E4
2009,The Jungle Book: Welcome to the Jungle,Welcome to the Jungle (Guns N' Roses),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=DB674VgWHsM
2009,The Jungle Book: Welcome to the Jungle,Kokomo (The Beach Boys),Live performance in Park Hall,Springygirl1,https://www.youtube.com/watch?v=rDMMii5hj_I
